234,11,,,,
235,11,,,,
232,12,,,Ambient Light Level,Amount_Indoor
233,13,,,0-500,1714
231,14,,,500-1000,179
230,16,,,1000-1500,60
236,16,,,1500-2000,35
229,19,,,above 2000,19
523,26,,,,
587,27,,,,
656,37,,,,
657,37,,,,
537,38,,,,
591,40,,,,
158,41,,,,
157,42,,,,
1125,42,,,,
522,44,,,,
655,44,,,,
658,44,,,,
228,47,,,,
588,47,,,,
1033,49,,,,
1873,49,,,,
237,50,,,,
590,50,,,,
654,50,,,,
127,54,,,,
1032,54,,,,
1601,54,,,,
1602,54,,,,
905,56,,,,
907,56,,,,
1599,56,,,,
1600,56,,,,
1603,56,,,,
227,57,,,,
955,57,,,,
957,57,,,,
1547,57,,,,
1548,57,,,,
521,58,,,,
908,59,,,,
909,59,,,,
956,59,,,,
1598,59,,,,
150,61,,,,
151,61,,,,
152,61,,,,
153,61,,,,
154,61,,,,
954,61,,,,
1280,61,,,,
131,62,,,,
1595,62,,,,
953,64,,,,
958,64,,,,
1604,64,,,,
132,66,,,,
1282,66,,,,
149,67,,,,
1279,67,,,,
1281,67,,,,
1592,67,,,,
1594,67,,,,
1596,67,,,,
1822,67,,,,
1865,67,,,,
1872,67,,,,
1211,69,,,,
1597,69,,,,
130,71,,,,
238,71,,,,
589,71,,,,
653,71,,,,
1593,71,,,,
1605,71,,,,
1871,71,,,,
226,74,,,,
520,75,,,,
374,78,,,,
906,78,,,,
159,79,,,,
901,79,,,,
155,81,,,,
239,81,,,,
524,81,,,,
902,81,,,,
1405,81,,,,
1778,81,,,,
1779,81,,,,
225,83,,,,
539,83,,,,
952,83,,,,
184,84,,,,
375,84,,,,
538,84,,,,
855,84,,,,
891,84,,,,
1034,84,,,,
1278,84,,,,
1549,84,,,,
128,86,,,,
133,86,,,,
1404,86,,,,
183,88,,,,
185,88,,,,
263,88,,,,
854,88,,,,
1406,88,,,,
1591,88,,,,
1777,88,,,,
1812,88,,,,
1813,88,,,,
1814,88,,,,
1811,90,,,,
1815,90,,,,
1816,90,,,,
129,91,,,,
179,91,,,,
186,91,,,,
