1911,537,,,,,Light Level,Amount_Outdoor
1910,562,,,,,0-500,0
1913,592,,,,,500-3000,279
1912,597,,,,,3000-10000,272
1914,635,,,,,10000-20000,645
1915,639,,,,,above 20000,817
1938,652,,,,,,
1925,670,,,,,,
1934,693,,,,,,
1933,694,,,,,,
1931,701,,,,,,
1926,704,,,,,,
1932,704,,,,,,
1930,706,,,,,,
1937,711,,,,,,
1929,714,,,,,,
1939,734,,,,,,
1935,752,,,,,,
1940,765,,,,,,
1936,779,,,,,,
1924,781,,,,,,
1944,784,,,,,,
1941,786,,,,,,
1945,799,,,,,,
1942,807,,,,,,
1927,810,,,,,,
1943,818,,,,,,
1928,834,,,,,,
1917,845,,,,,,
1946,851,,,,,,
1949,861,,,,,,
1918,870,,,,,,
1916,891,,,,,,
1948,901,,,,,,
1947,909,,,,,,
1875,958,,,,,,
1923,964,,,,,,
561,1011,,,,,,
1793,1022,,,,,,
1950,1080,,,,,,
1874,1082,,,,,,
1922,1085,,,,,,
1919,1089,,,,,,
560,1096,,,,,,
1920,1096,,,,,,
1756,1099,,,,,,
1757,1123,,,,,,
1921,1135,,,,,,
1879,1152,,,,,,
1794,1155,,,,,,
1904,1161,,,,,,
1877,1179,,,,,,
1878,1179,,,,,,
667,1199,,,,,,
1795,1199,,,,,,
1762,1210,,,,,,
1876,1243,,,,,,
1798,1264,,,,,,
665,1265,,,,,,
237,1273,,,,,,
1881,1277,,,,,,
666,1280,,,,,,
1882,1292,,,,,,
1951,1314,,,,,,
1763,1322,,,,,,
1758,1336,,,,,,
1797,1339,,,,,,
557,1340,,,,,,
1761,1341,,,,,,
1802,1346,,,,,,
1796,1349,,,,,,
1873,1349,,,,,,
1803,1360,,,,,,
1755,1361,,,,,,
562,1373,,,,,,
1883,1375,,,,,,
244,1379,,,,,,
245,1386,,,,,,
1792,1396,,,,,,
243,1398,,,,,,
664,1402,,,,,,
1903,1402,,,,,,
1760,1404,,,,,,
1888,1405,,,,,,
1799,1412,,,,,,
761,1419,,,,,,
1869,1426,,,,,,
242,1427,,,,,,
1890,1431,,,,,,
555,1434,,,,,,
558,1435,,,,,,
1905,1437,,,,,,
236,1443,,,,,,
551,1443,,,,,,
1887,1444,,,,,,
1862,1446,,,,,,
1759,1448,,,,,,
1880,1449,,,,,,
246,1452,,,,,,
247,1455,,,,,,
240,1472,,,,,,
241,1499,,,,,,
235,1510,,,,,,
1909,1518,,,,,,
553,1522,,,,,,
239,1529,,,,,,
1800,1532,,,,,,
1889,1534,,,,,,
1804,1560,,,,,,
559,1561,,,,,,
238,1564,,,,,,
1805,1564,,,,,,
1863,1564,,,,,,
1811,1571,,,,,,
762,1572,,,,,,
1791,1592,,,,,,
1872,1597,,,,,,
1810,1624,,,,,,
1886,1632,,,,,,
552,1634,,,,,,
1787,1645,,,,,,
1806,1648,,,,,,
248,1654,,,,,,
1801,1658,,,,,,
1870,1667,,,,,,
763,1672,,,,,,
1897,1682,,,,,,
1895,1687,,,,,,
1871,1701,,,,,,
1786,1704,,,,,,
1788,1705,,,,,,
1884,1714,,,,,,
1952,1714,,,,,,
1764,1724,,,,,,
1868,1739,,,,,,
233,1744,,,,,,
1790,1749,,,,,,
549,1761,,,,,,
1785,1769,,,,,,
811,1771,,,,,,
1896,1804,,,,,,
1953,1815,,,,,,
1885,1830,,,,,,
1789,1835,,,,,,
764,1839,,,,,,
1809,1860,,,,,,
663,1868,,,,,,
1807,1873,,,,,,
805,1897,,,,,,
804,1898,,,,,,
1749,1898,,,,,,
807,1910,,,,,,
1867,1913,,,,,,
234,1922,,,,,,
1812,1929,,,,,,
1891,1949,,,,,,
1907,1952,,,,,,
1908,1971,,,,,,
1765,1975,,,,,,
1808,1975,,,,,,
568,1987,,,,,,
756,2006,,,,,,
1766,2010,,,,,,
808,2019,,,,,,
806,2020,,,,,,
1906,2022,,,,,,
1754,2030,,,,,,
755,2033,,,,,,
799,2054,,,,,,
1784,2058,,,,,,
550,2070,,,,,,
545,2074,,,,,,
810,2082,,,,,,
181,2090,,,,,,
180,2092,,,,,,
1771,2102,,,,,,
186,2109,,,,,,
179,2111,,,,,,
231,2127,,,,,,
182,2129,,,,,,
1770,2129,,,,,,
173,2147,,,,,,
174,2152,,,,,,
754,2152,,,,,,
1954,2165,,,,,,
183,2168,,,,,,
184,2176,,,,,,
812,2177,,,,,,
1745,2178,,,,,,
172,2179,,,,,,
541,2185,,,,,,
187,2190,,,,,,
185,2200,,,,,,
1767,2209,,,,,,
668,2217,,,,,,
662,2244,,,,,,
1753,2250,,,,,,
1750,2254,,,,,,
757,2277,,,,,,
171,2282,,,,,,
548,2282,,,,,,
1813,2282,,,,,,
178,2290,,,,,,
798,2295,,,,,,
496,2302,,,,,,
175,2303,,,,,,
800,2304,,,,,,
1783,2320,,,,,,
1769,2339,,,,,,
1902,2339,,,,,,
1898,2372,,,,,,
1748,2374,,,,,,
1746,2385,,,,,,
809,2395,,,,,,
188,2411,,,,,,
1747,2417,,,,,,
232,2428,,,,,,
1752,2430,,,,,,
230,2432,,,,,,
1955,2435,,,,,,
1768,2445,,,,,,
177,2453,,,,,,
1772,2457,,,,,,
189,2465,,,,,,
1894,2487,,,,,,
176,2490,,,,,,
1779,2503,,,,,,
797,2512,,,,,,
803,2513,,,,,,
1778,2523,,,,,,
753,2526,,,,,,
1780,2529,,,,,,
1814,2534,,,,,,
170,2548,,,,,,
802,2551,,,,,,
564,2560,,,,,,
752,2564,,,,,,
792,2566,,,,,,
1777,2568,,,,,,
497,2574,,,,,,
1782,2577,,,,,,
661,2584,,,,,,
190,2600,,,,,,
1866,2621,,,,,,
1776,2633,,,,,,
1775,2636,,,,,,
765,2643,,,,,,
1743,2645,,,,,,
1781,2647,,,,,,
192,2653,,,,,,
546,2663,,,,,,
785,2676,,,,,,
782,2713,,,,,,
1956,2723,,,,,,
1774,2725,,,,,,
39,2736,,,,,,
566,2738,,,,,,
1865,2771,,,,,,
542,2772,,,,,,
1815,2790,,,,,,
793,2798,,,,,,
1773,2803,,,,,,
751,2808,,,,,,
1864,2855,,,,,,
229,2857,,,,,,
801,2893,,,,,,
760,2900,,,,,,
1818,2928,,,,,,
28,2931,,,,,,
1901,2937,,,,,,
795,2949,,,,,,
787,2950,,,,,,
790,2951,,,,,,
784,2968,,,,,,
169,2971,,,,,,
794,2975,,,,,,
786,2982,,,,,,
1816,2990,,,,,,
789,2995,,,,,,
1893,3006,,,,,,
660,3019,,,,,,
1751,3051,,,,,,
788,3062,,,,,,
556,3073,,,,,,
1817,3076,,,,,,
191,3077,,,,,,
783,3088,,,,,,
1892,3127,,,,,,
781,3129,,,,,,
569,3134,,,,,,
575,3142,,,,,,
791,3145,,,,,,
796,3168,,,,,,
814,3182,,,,,,
162,3206,,,,,,
1819,3211,,,,,,
228,3221,,,,,,
815,3239,,,,,,
1742,3239,,,,,,
1820,3279,,,,,,
816,3283,,,,,,
1899,3313,,,,,,
1744,3323,,,,,,
495,3372,,,,,,
1177,3374,,,,,,
543,3391,,,,,,
1822,3395,,,,,,
1821,3396,,,,,,
1900,3415,,,,,,
161,3432,,,,,,
1957,3437,,,,,,
779,3464,,,,,,
1176,3531,,,,,,
778,3532,,,,,,
